gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

124,0,0,0.0,0.0,0.0,0.0,0,70,0,0,0,0,0,0,True,15
125,0,0,0.0,0.0,0.0,0.0,0,70,0,0,0,0,0,0,True,13
126,0,0,0.0,0.0,0.0,0.0,0,70,0,0,0,0,0,0,False,5
127,0,0,0.0,0.0,0.0,0.0,0,70,0,0,0,0,0,0,True,17
128,0,0,0.0,0.0,0.0,0.0,0,70,0,0,0,0,0,0,False,6
129,0,0,0.0,0.0,0.0,0.0,0,70,0,0,0,0,0,0,False,20
130,0,0,0.0,0.0,0.0,0.0,0,70,0,0,0,0,0,0,True,1
131,0,0,0.0,0.0,0.0,0.0,0,70,0,0,0,0,0,0,False,16
