gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

5,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0,True,11
6,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0,False,5
7,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0,False,7
8,0,0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,0,True,2
9,1,2,0.3,2.0,1.0,0.3,9,53,0,0,0,0,0,0,False,3
10,6,16,1.0,63.0,37.2,10.1,45,53,1,0,0,0,1,0,True,12
11,2,7,11.3,6.0,7.6,2.5,90,53,0,0,0,0,2,0,False,4
12,2,7,18.6,24.0,12.4,5.5,90,53,0,0,0,0,2,0,True,18
