gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,2,7,0.4,0.0,5.4,0.6,90,45,0,0,0,0,2,0,True,11
2,2,10,5.4,2.0,12.2,2.0,90,45,0,0,0,0,2,0,False,9
3,3,10,13.4,4.0,15.0,3.2,90,45,0,0,0,0,0,0,False,18
4,2,15,4.1,9.0,5.6,1.9,90,45,0,0,0,0,1,0,True,19
5,2,28,3.4,7.0,25.8,3.6,90,45,0,0,0,0,2,0,False,2
6,6,22,12.0,53.0,32.8,9.8,90,45,0,1,0,0,0,0,True,13
7,2,19,12.2,0.0,31.6,4.4,90,45,0,0,0,0,2,0,False,1
8,2,12,0.7,3.0,15.4,1.9,90,45,0,0,0,0,1,0,True,7
9,3,20,16.3,0.0,11.8,2.8,90,45,0,0,0,0,0,0,False,20
10,2,16,3.0,0.0,15.4,1.8,90,45,0,0,0,0,1,0,True,14
11,3,14,1.4,1.0,22.8,2.5,90,45,0,0,0,0,0,0,False,16
12,2,13,4.5,1.0,17.0,2.3,90,45,0,0,0,0,2,0,True,15
13,2,26,11.7,8.0,29.2,4.9,90,45,0,0,0,0,1,0,False,12
14,3,13,12.3,2.0,7.2,2.2,90,45,0,0,0,0,0,0,True,6
15,2,16,3.5,4.0,13.4,2.1,90,45,0,0,0,0,5,0,True,10
16,2,20,11.5,4.0,25.0,4.1,90,45,0,0,0,0,2,0,False,8
17,2,10,0.2,0.0,9.4,1.0,90,45,0,0,0,0,2,0,False,17
18,2,13,3.8,18.0,14.4,3.6,90,45,0,0,1,0,0,0,True,4
19,3,15,12.7,0.0,12.6,2.5,90,45,0,0,0,0,0,0,True,18
20,1,13,1.1,0.0,13.6,1.5,90,45,0,0,1,0,2,0,False,5
21,3,15,3.5,0.0,11.8,1.5,90,45,0,0,0,0,0,0,False,13
22,2,13,13.5,4.0,18.4,3.6,90,45,0,0,0,0,2,0,True,2
23,2,15,3.8,0.0,10.4,1.4,90,45,0,0,0,0,2,0,False,19
24,2,19,14.3,4.0,19.4,3.8,90,45,0,0,0,0,4,0,True,5
25,2,18,2.1,0.0,22.6,2.5,90,45,0,0,0,0,1,0,False,14
26,1,11,23.8,10.0,18.4,5.2,90,45,0,0,1,0,1,0,True,20
27,7,27,25.8,4.0,37.6,6.7,90,45,0,1,0,0,1,0,False,15
28,5,22,10.9,4.0,27.8,4.3,90,45,0,1,0,0,1,0,True,16
29,1,8,11.8,0.0,11.6,2.3,90,45,0,0,1,0,1,0,True,1
30,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,7
31,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,9
32,2,18,3.4,8.0,20.4,3.2,90,45,0,0,0,0,1,0,True,8
33,1,7,2.9,7.0,23.0,3.3,90,45,0,0,1,0,3,0,False,6
34,2,11,1.1,18.0,18.0,3.7,90,45,0,0,0,0,1,0,True,17
35,2,10,14.7,0.0,11.2,2.6,90,45,0,0,1,0,0,0,False,4
36,3,14,1.3,1.0,16.2,1.9,90,45,0,0,0,0,0,0,True,12
37,2,16,5.7,0.0,15.2,2.1,90,45,0,0,0,0,3,0,False,11
38,2,14,0.3,0.0,8.2,0.9,90,45,0,0,0,0,4,0,False,10
38,1,14,11.8,4.0,21.8,3.8,90,45,0,0,1,0,2,0,False,18
39,2,12,12.3,2.0,15.8,3.0,90,45,0,0,0,0,2,0,True,14
40,2,12,1.3,0.0,35.0,3.6,90,45,0,0,0,0,1,0,False,12
41,1,11,2.5,3.0,5.0,1.1,90,45,0,0,1,0,2,0,True,9
42,1,11,2.0,0.0,12.4,1.4,90,45,0,0,1,0,2,0,False,16
43,1,4,0.3,0.0,2.2,0.3,20,44,0,0,0,0,0,0,True,17
44,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,13
45,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,19
46,3,10,1.7,2.0,16.2,2.0,90,44,0,0,0,0,0,0,False,15
47,3,15,1.0,0.0,9.8,1.1,90,44,0,0,0,0,0,0,True,20
48,2,12,0.4,0.0,8.8,0.9,90,44,0,0,0,0,3,0,False,8
49,-2,-6,0.6,0.0,0.0,0.0,33,44,0,0,0,1,2,0,False,5
50,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,11
51,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,10
52,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,7
53,1,3,0.0,0.0,1.4,0.1,11,44,0,0,0,0,0,0,False,4
54,2,8,1.1,0.0,9.8,1.1,90,44,0,0,0,0,2,0,True,6
55,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,2
56,2,19,26.3,0.0,21.6,4.8,90,44,0,0,0,0,1,0,True,1
57,3,13,12.3,2.0,13.0,2.7,90,44,0,0,0,0,0,0,True,8
58,9,29,14.4,17.0,45.8,7.7,90,44,1,0,0,0,2,0,False,19
59,2,13,1.3,1.0,9.0,1.1,90,44,0,0,0,0,1,0,True,12
60,2,11,1.8,6.0,12.2,2.0,90,44,0,0,0,0,2,0,False,14
61,1,12,2.6,1.0,11.8,1.5,90,44,0,0,1,0,4,0,False,9
62,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,18
63,2,15,14.8,0.0,15.0,3.0,90,44,0,0,0,0,3,0,True,4
64,2,17,14.3,8.0,10.8,3.3,80,44,0,0,0,0,2,0,False,11
65,3,20,34.6,0.0,20.6,5.5,90,44,0,0,0,0,0,0,True,10
66,7,33,21.8,0.0,47.8,7.0,90,43,0,1,0,0,1,0,False,7
67,1,7,12.8,20.0,11.8,4.5,90,43,0,0,1,0,1,0,True,16
68,2,23,1.3,0.0,20.0,2.1,90,43,0,0,0,0,3,0,False,6
69,2,17,14.3,1.0,14.2,3.0,90,43,0,0,0,0,5,0,True,2
70,2,13,13.3,9.0,24.2,4.7,90,43,0,0,0,0,2,0,True,5
71,2,12,22.7,2.0,27.2,5.2,90,43,0,0,1,0,0,0,False,20
72,2,9,0.3,0.0,19.8,2.0,90,43,0,0,0,0,1,0,False,17
73,2,15,3.9,8.0,18.2,3.0,90,43,0,0,0,0,1,0,True,15
74,2,20,1.5,2.0,17.0,2.1,90,43,0,0,0,0,1,0,False,1
75,0,0,0.0,0.0,0.0,0.0,0,43,0,0,0,0,0,0,True,13
75,3,11,11.3,0.0,14.8,2.6,90,45,0,0,0,0,0,0,False,18
76,2,16,2.6,15.0,22.6,4.0,90,45,0,0,0,0,1,0,True,19
77,2,18,3.3,0.0,7.6,1.1,77,45,0,0,0,0,1,0,True,16
78,2,10,1.8,4.0,8.2,1.4,90,45,0,0,0,0,4,0,False,11
79,2,17,7.8,18.0,19.8,4.6,90,45,0,0,0,0,1,0,True,5
80,3,16,25.6,9.0,20.0,5.5,90,45,0,0,0,0,0,0,False,13
81,2,13,2.7,7.0,20.2,3.0,90,45,0,0,0,0,2,0,False,6
82,2,9,4.0,8.0,4.8,1.7,89,45,0,0,1,0,0,0,True,17
83,2,19,25.2,10.0,22.2,5.7,90,45,0,0,0,0,2,0,False,2
84,1,16,4.8,0.0,15.4,2.0,90,45,0,0,1,0,2,0,True,8
85,3,13,15.0,1.0,10.6,2.7,90,45,0,0,0,0,0,0,True,14
86,1,10,2.1,0.0,18.0,2.0,90,45,0,0,1,0,3,0,False,12
87,1,8,4.1,0.0,5.0,0.9,76,45,0,0,1,0,1,0,True,9
88,2,17,14.2,0.0,9.8,2.4,90,45,0,0,0,0,2,0,False,10
89,2,17,22.8,0.0,23.6,4.6,90,45,0,0,0,0,1,0,False,1
90,5,27,14.3,3.0,35.0,5.2,90,44,0,1,1,0,2,0,True,20
91,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,7
92,2,12,16.6,0.0,10.8,2.7,90,44,0,0,0,0,1,0,True,15
93,2,14,12.4,1.0,20.0,3.3,90,44,0,0,0,0,2,0,False,17
94,1,6,0.7,0.0,5.2,0.6,6,44,0,0,0,0,0,0,True,3
95,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,6
96,2,9,6.7,1.0,2.8,1.1,71,44,0,0,0,0,1,0,False,8
97,2,17,13.0,8.0,18.6,4.0,90,44,0,0,0,0,1,0,True,2
98,2,13,2.2,0.0,22.0,2.4,90,44,0,0,0,0,3,0,False,3
99,1,11,13.3,1.0,18.4,3.3,90,44,0,0,1,0,3,0,False,19
100,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,18
101,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,15
102,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,7
103,1,3,0.2,0.0,1.6,0.2,1,44,0,0,0,0,0,0,False,20
104,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,12
105,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,14
106,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10
107,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11
108,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,16
109,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13
110,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5
