gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,False,5
2,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,True,13
3,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0,True,8
4,7,28,1.6,0.0,26.2,2.8,90,48,0,0,0,0,0,0,True,19
5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,14
6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,20
7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,9
8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,17
9,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10
10,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2
11,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,18
