gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,12
2,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,14
3,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,15
4,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,6
5,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,20
6,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,8
7,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,9
8,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,3
9,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,10
10,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,16
11,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,13
12,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,7
13,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,11
14,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,4
15,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,18
16,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,1
17,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,16
18,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,20
19,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,6
20,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,2
21,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,15
22,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,14
23,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,12
24,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,19
25,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,18
26,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,4
27,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,13
28,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,1
29,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,8
30,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,9
31,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,17
32,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,3
33,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,10
34,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,7
35,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,False,11
35,1,3,0.6,0.0,0.2,0.1,1,45,0,0,0,0,0,0,True,2
35,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,8
36,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,15
37,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,12
38,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,2
39,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,17
40,0,0,0.0,0.0,0.0,0.0,0,44,0,0,0,0,0,0,True,20
