gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,19
2,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,17
3,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,2
4,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,12
5,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,14
6,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,15
7,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,6
8,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,20
9,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,8
10,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,9
11,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,3
12,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,10
13,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,16
14,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,13
15,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,7
16,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,11
17,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,4
18,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,18
19,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,1
20,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,16
21,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,20
22,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,6
23,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,2
24,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,15
25,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,14
26,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,12
27,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,19
28,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,18
29,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,4
30,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,13
31,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,1
32,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,8
33,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,9
34,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,17
35,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,3
36,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,10
37,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,7
38,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,11
38,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,8
39,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,10
40,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,16
41,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,4
42,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,14
43,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,11
44,1,3,1.1,0.0,0.4,0.2,16,45,0,0,0,0,1,0,False,12
45,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,5
46,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,13
47,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,20
48,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,17
49,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,7
50,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,15
51,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,3
52,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,19
53,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,2
54,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,18
55,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,9
56,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,16
57,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,1
58,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,11
59,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,14
60,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,4
61,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,1
62,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,20
63,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,13
64,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,7
65,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,17
66,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,12
67,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,5
68,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,8
