gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0

3,0,0,0.0,0.0,0.0,0.0,0,59,0,0,0,0,0,0,True,5
4,2,2,15.7,38.0,3.2,5.7,67,58,0,0,0,0,2,0,False,8
5,5,25,1.3,62.0,34.0,9.7,45,58,1,0,0,0,2,0,True,6
6,1,3,0.1,0.0,0.2,0.0,14,58,0,0,0,0,0,0,False,7
7,1,2,3.3,0.0,0.0,0.3,10,57,0,0,0,0,0,0,True,18
8,2,-3,1.5,11.0,0.0,1.2,67,57,0,0,0,0,0,0,False,11
9,2,5,11.3,4.0,0.2,1.6,61,57,0,0,0,0,1,0,True,16
10,0,0,0.0,0.0,0.0,0.0,0,57,0,0,0,0,0,0,False,13
